
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019753                       # Number of seconds simulated (Second)
simTicks                                  19752948000                       # Number of ticks simulated (Tick)
finalTick                                 19752948000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     63.27                       # Real time elapsed on the host (Second)
hostTickRate                                312194364                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     676596                       # Number of bytes of host memory used (Byte)
simInsts                                     11335789                       # Number of instructions simulated (Count)
simOps                                       22597925                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   179161                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     357159                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         19752949                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22930889                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30449519                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  27852                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               332965                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            573450                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            19731110                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.543224                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.110068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10112376     51.25%     51.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3243468     16.44%     67.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    984222      4.99%     72.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    995554      5.05%     77.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1869164      9.47%     87.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1197354      6.07%     93.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    734878      3.72%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    374501      1.90%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    219593      1.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              19731110                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  100879      3.77%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.77% # attempts to use FU when none available (Count)
